Region,Product_Category,Month,Marketing_Spend,Price,Quantity_Sold,Revenue,Cost,Profit,Customer_Satisfaction
South,Office Supplies,9,42831.95,49.16,51,2506.96,1511.39,-41836.38,4.87
North,Furniture,3,34197.03,242.39,52,12604.44,8411.23,-30003.82,9.22
South,Technology,5,21338.7,324.73,51,16561.18,13181.95,-17959.47,9.98
North,Technology,1,5339.05,116.54,47,5477.37,4136.76,-3998.43,7.26
East,Office Supplies,6,48878.02,247.92,55,13635.64,9756.8,-44999.19,8.36
East,Furniture,3,42736.22,106.51,43,4580.08,3018.05,-41174.19,8.48
South,Technology,11,46940.65,163.72,52,8513.33,5416.86,-43844.18,8.15
North,Office Supplies,10,49548.21,164.57,57,9380.21,6607.9,-46775.9,7.79
West,Furniture,7,40743.03,57.82,58,3353.34,2087.64,-39477.33,9.16
North,Office Supplies,9,14225.08,192.72,63,12141.24,6245.8,-8329.64,7.87
North,Furniture,12,12364.52,86.31,57,4919.76,3231.89,-10676.64,7.75
West,Technology,10,22660.03,409.22,49,20051.62,12809.05,-15417.46,8.58
East,Technology,9,20991.31,198.78,51,10137.97,5765.54,-16618.88,5.73
East,Office Supplies,6,47292.45,315.72,46,14522.91,10720.92,-43490.46,7.95
East,Office Supplies,4,49896.17,377.44,54,20381.74,11066.03,-40580.46,10.0
West,Furniture,2,39310.64,439.0,47,20632.95,11001.27,-29678.96,8.93
North,Technology,4,37501.37,361.42,53,19155.16,12696.37,-31042.58,6.33
East,Office Supplies,5,42205.95,479.74,47,22547.88,14139.3,-33797.37,8.22
South,Technology,8,27764.99,307.67,63,19383.2,13742.6,-22124.39,4.75
West,Technology,8,34311.52,386.77,47,18178.05,9510.69,-25644.16,6.06
West,Furniture,7,46437.88,435.6,50,21779.93,13497.04,-38154.99,6.26
North,Technology,9,14251.09,394.96,52,20537.71,12822.75,-6536.13,4.67
East,Technology,11,6478.1,456.81,44,20099.68,11047.87,2573.71,2.82
North,Technology,1,40122.31,142.41,44,6265.85,4101.32,-37957.78,6.94
West,Furniture,6,8840.74,498.45,50,24922.64,12962.84,3119.07,7.64
East,Office Supplies,11,40990.19,177.95,49,8719.38,5347.75,-37618.56,7.45
North,Furniture,3,25398.0,264.57,49,12964.09,8658.61,-21092.52,8.75
East,Technology,8,43780.35,473.33,47,22246.38,15421.18,-36955.16,6.46
West,Furniture,7,34651.58,18.41,44,810.15,568.38,-34409.8,6.9
North,Furniture,9,40996.22,93.38,53,4949.12,2622.2,-38669.31,8.22
West,Furniture,11,48319.22,472.48,41,19371.8,11568.78,-40516.2,5.59
South,Office Supplies,10,8847.88,107.9,52,5610.99,4308.13,-7545.02,6.22
South,Office Supplies,2,21337.66,21.94,58,1272.69,931.8,-20996.78,8.57
North,Furniture,5,18250.96,474.48,56,26571.13,20208.41,-11888.25,8.46
West,Technology,2,6011.12,138.0,51,7037.76,4063.37,-3036.72,6.95
South,Furniture,11,23976.68,70.48,61,4299.08,3030.66,-22708.26,7.18
South,Technology,6,8022.89,205.6,50,10279.89,5468.63,-3211.63,8.97
South,Technology,11,45500.84,437.58,52,22753.93,15916.62,-38663.53,4.24
South,Furniture,2,12482.75,370.33,38,14072.41,8072.0,-6482.34,5.08
North,Office Supplies,8,24673.7,458.18,55,25199.86,19776.65,-19250.49,7.78
South,Technology,8,14672.32,20.44,45,919.6,473.99,-14226.7,6.82
South,Office Supplies,11,20040.98,386.6,40,15464.06,11110.26,-15687.17,9.96
South,Technology,7,8417.0,43.49,46,2000.72,1577.82,-7994.11,6.93
North,Furniture,9,25070.26,96.64,51,4928.68,3547.01,-23688.59,7.84
South,Furniture,8,16235.06,247.27,65,16072.25,11438.18,-11600.99,8.62
East,Technology,7,30011.3,239.24,46,11004.99,7915.97,-26922.27,6.71
East,Office Supplies,2,38527.9,32.17,49,1576.18,1092.86,-38044.59,6.77
South,Office Supplies,8,15350.4,64.68,37,2393.18,1440.61,-14397.82,6.61
East,Technology,4,40582.54,162.78,53,8627.47,5907.74,-37862.81,7.2
South,Furniture,7,25787.43,495.22,47,23275.29,12126.63,-14638.77,10.0
West,Office Supplies,9,39572.3,211.79,48,10166.14,5811.3,-35217.47,6.02
East,Technology,8,17925.75,151.67,44,6673.59,3372.58,-14624.74,6.95
North,Technology,8,10599.69,478.43,57,27270.27,18450.14,-1779.57,7.35
East,Office Supplies,8,26033.07,308.64,53,16357.85,10694.87,-20370.09,6.04
South,Technology,1,48077.16,413.97,57,23596.39,13329.54,-37810.31,6.2
North,Office Supplies,4,49770.85,91.08,48,4371.75,3098.72,-48497.83,7.52
South,Technology,8,38654.22,22.26,60,1335.5,851.02,-38169.74,6.44
West,Office Supplies,11,10828.17,444.93,57,25361.03,16871.61,-2338.75,6.73
East,Furniture,8,36307.14,29.15,40,1165.91,929.75,-36070.98,5.8
South,Technology,3,42110.64,177.17,54,9566.94,5549.86,-38093.57,7.36
West,Technology,11,44028.24,355.64,58,20627.1,14522.35,-37923.49,7.46
East,Office Supplies,6,13514.97,441.41,68,30015.91,22923.79,-6422.85,7.34
South,Furniture,12,5287.36,147.08,53,7795.45,5380.43,-2872.35,6.77
West,Technology,3,10780.19,145.25,58,8424.78,4666.06,-7021.47,8.16
West,Furniture,4,18543.36,355.55,37,13155.17,7942.63,-13330.82,8.02
South,Office Supplies,2,44219.16,486.88,41,19961.96,10128.22,-34385.42,9.35
South,Office Supplies,10,12152.22,236.93,65,15400.26,11646.64,-8398.61,6.9
East,Office Supplies,11,14934.63,45.78,54,2472.05,1438.68,-13901.26,7.98
West,Technology,11,48403.42,381.25,49,18681.08,11138.09,-40860.43,6.85
South,Office Supplies,2,14589.71,20.41,53,1081.8,821.42,-14329.33,7.76
South,Technology,1,9102.4,81.06,49,3971.98,2007.27,-7137.7,6.96
North,Technology,8,46438.15,310.24,57,17683.79,9464.23,-38218.59,7.56
West,Technology,6,15149.31,84.61,53,4484.26,3036.2,-13701.25,5.86
West,Office Supplies,1,5522.92,40.86,48,1961.34,1333.72,-4895.31,8.54
North,Furniture,9,6782.85,242.85,39,9471.19,7539.05,-4850.71,5.36
West,Office Supplies,6,32817.01,352.72,51,17988.73,10756.15,-25584.43,5.69
North,Furniture,1,42103.13,182.11,43,7830.8,5845.16,-40117.49,7.06
South,Office Supplies,12,9705.55,320.03,54,17281.78,13494.71,-5918.49,7.09
South,Furniture,12,41077.76,173.03,57,9862.59,7578.86,-38794.03,6.03
West,Furniture,10,40272.46,243.05,32,7777.52,4912.14,-37407.09,7.98
West,Technology,9,44230.26,113.51,43,4880.97,3405.02,-42754.32,9.35
East,Furniture,6,37364.08,118.09,53,6258.51,4406.42,-35511.99,6.61
South,Technology,10,38421.79,215.62,47,10134.1,8069.73,-36357.42,4.5
West,Furniture,1,28129.81,296.09,52,15396.62,11360.97,-24094.16,5.67
East,Technology,2,33420.21,367.89,41,15083.53,11655.19,-29991.87,4.96
East,Furniture,12,21778.19,258.74,48,12419.74,7838.71,-17197.16,6.7
South,Office Supplies,9,34817.96,52.15,53,2764.19,1713.0,-33766.78,5.73
East,Technology,5,19633.55,387.87,49,19005.59,9921.85,-10549.81,7.12
South,Furniture,9,24389.94,128.11,52,6661.91,3664.8,-21392.83,5.08
West,Technology,11,38138.09,333.58,49,16345.58,12123.53,-33916.04,8.55
West,Office Supplies,4,17138.73,33.26,51,1696.16,868.1,-16310.67,7.36
East,Office Supplies,6,13100.47,48.84,39,1904.57,1345.5,-12541.41,6.28
East,Office Supplies,2,19540.88,486.68,52,25307.54,16614.88,-10848.22,3.32
East,Furniture,4,10658.37,70.69,55,3888.16,2163.78,-8933.99,5.92
South,Technology,6,16488.79,332.51,56,18620.45,13754.05,-11622.4,7.73
West,Technology,1,14705.38,331.15,48,15895.12,8455.85,-7266.12,8.51
North,Technology,9,9909.93,327.0,49,16023.16,12231.56,-6118.33,6.62
East,Office Supplies,11,21905.25,151.95,53,8053.37,5549.27,-19401.16,8.76
East,Technology,9,31841.85,275.12,49,13480.64,9114.51,-27475.72,10.0
West,Furniture,10,39170.49,252.72,51,12888.74,9720.05,-36001.8,4.55
West,Office Supplies,11,39419.75,407.43,61,24853.1,19338.46,-33905.1,7.26
East,Technology,6,13755.12,87.33,52,4541.38,3183.64,-12397.38,7.09
West,Furniture,4,37293.61,202.95,50,10147.65,7690.14,-34836.1,8.15
East,Technology,7,18287.52,397.74,43,17102.67,10729.5,-11914.35,7.72
East,Office Supplies,7,33709.33,260.01,52,13520.61,9383.06,-29571.78,3.58
West,Furniture,9,42793.76,450.51,47,21174.04,15545.08,-37164.8,8.2
West,Office Supplies,10,41428.85,384.49,41,15764.29,8605.65,-34270.21,6.16
North,Office Supplies,12,43825.87,112.29,39,4379.16,3032.97,-42479.68,8.45
South,Technology,9,27354.51,493.95,41,20252.11,12582.55,-19684.95,10.0
South,Technology,7,37603.26,12.83,47,603.08,410.68,-37410.86,8.02
North,Furniture,4,8854.62,447.62,43,19247.85,10932.72,-539.49,6.59
North,Office Supplies,4,24908.45,416.77,54,22505.7,15575.08,-17977.83,7.95
East,Furniture,12,19595.02,169.84,53,9001.31,6473.7,-17067.41,4.67
South,Furniture,12,8994.53,481.02,53,25494.3,14051.02,2448.75,4.67
East,Technology,12,49155.64,240.07,47,11283.24,8939.14,-46811.54,4.27
South,Technology,4,46715.04,272.28,58,15792.17,10850.42,-41773.29,7.29
North,Technology,12,40191.26,355.83,45,16012.29,8427.15,-32606.13,6.54
East,Technology,9,27937.59,413.52,59,24397.48,17953.69,-21493.8,9.53
West,Furniture,12,46876.78,62.6,57,3568.28,2724.0,-46032.5,9.84
South,Furniture,6,11357.51,109.93,57,6266.09,3176.08,-8267.51,6.35
South,Furniture,10,42011.63,70.6,50,3529.99,2574.92,-41056.56,6.18
North,Office Supplies,3,22939.84,77.46,47,3640.39,1848.39,-21147.83,7.76
West,Technology,4,24778.03,57.3,53,3037.11,2083.08,-23824.0,7.08
West,Office Supplies,3,22390.74,284.4,43,12229.13,7892.44,-18054.05,7.97
East,Technology,7,15763.1,75.41,40,3016.54,1599.71,-14346.28,9.06
West,Technology,4,33493.53,118.3,44,5205.32,2873.99,-31162.2,8.43
South,Office Supplies,5,44897.19,227.64,43,9788.67,6110.47,-41218.99,7.64
South,Office Supplies,5,22418.54,482.09,44,21212.05,13269.71,-14476.21,7.58
East,Furniture,8,29088.96,111.52,68,7583.7,4041.51,-25546.77,9.05
West,Office Supplies,5,42996.07,53.55,50,2677.54,1599.57,-41918.1,6.74
North,Technology,4,43680.44,199.23,67,13348.74,7083.44,-37415.14,9.57
West,Technology,9,35966.06,221.61,45,9972.61,5101.27,-31094.72,6.87
East,Office Supplies,2,22385.7,227.81,44,10023.71,6366.92,-18728.91,8.38
North,Office Supplies,5,38184.52,258.55,54,13961.69,7336.0,-31558.83,6.45
West,Office Supplies,8,6600.69,256.75,48,12323.84,9827.98,-4104.82,7.28
West,Office Supplies,3,34761.68,96.67,42,4060.22,2834.4,-33535.86,5.83
South,Office Supplies,12,45450.54,392.33,53,20793.49,11990.03,-36647.07,8.32
West,Furniture,9,33975.69,267.5,57,15247.47,12106.36,-30834.58,9.18
East,Furniture,11,6968.1,59.85,52,3112.2,1907.15,-5763.05,9.7
South,Furniture,9,12365.77,140.53,63,8853.18,5744.07,-9256.66,5.18
East,Technology,12,46351.69,129.86,56,7272.12,5473.0,-44552.57,8.7
West,Furniture,7,13126.76,31.66,46,1456.35,845.85,-12516.25,9.59
South,Technology,5,37669.1,409.8,43,17621.56,13255.13,-33302.67,7.45
North,Furniture,11,39118.33,372.99,52,19395.73,10579.8,-30302.4,7.24
North,Technology,8,25770.09,9.62,44,423.24,337.55,-25684.4,5.72
West,Office Supplies,10,34590.21,158.91,55,8740.04,5982.5,-31832.67,5.52
North,Furniture,10,39244.58,22.48,55,1236.35,973.53,-38981.76,9.23
North,Office Supplies,3,42888.67,237.81,50,11890.4,7319.88,-38318.15,8.82
South,Office Supplies,10,22618.66,209.25,54,11299.38,7749.98,-19069.26,7.93
West,Technology,4,23104.72,437.76,50,21888.0,11627.81,-12844.53,8.1
West,Furniture,8,35441.06,403.47,45,18156.13,11791.98,-29076.91,5.51
South,Office Supplies,6,36293.7,374.23,58,21705.51,13284.62,-27872.81,7.54
North,Furniture,4,7814.4,401.68,56,22493.89,13267.64,1411.85,6.13
North,Technology,6,33627.98,393.9,40,15755.9,11847.5,-29719.58,8.8
West,Technology,9,30449.75,489.93,42,20576.86,13904.67,-23777.56,4.09
South,Technology,6,28313.54,152.87,64,9783.63,6152.89,-24682.81,7.77
South,Technology,4,11006.6,44.9,55,2469.38,1558.31,-10095.54,6.2
North,Furniture,9,12150.87,307.06,41,12589.52,8775.98,-8337.33,6.85
West,Office Supplies,3,17402.56,394.63,48,18942.13,10994.8,-9455.23,6.69
North,Technology,4,6512.61,36.01,61,2196.81,1449.3,-5765.09,4.36
East,Office Supplies,2,37960.19,276.42,41,11333.17,7004.29,-33631.31,5.46
South,Furniture,9,27251.65,489.88,41,20084.98,11194.51,-18361.18,5.1
North,Technology,9,5991.58,361.4,48,17347.39,12232.1,-876.29,5.39
North,Technology,8,10164.6,430.77,55,23692.3,16877.22,-3349.52,5.76
South,Furniture,1,24288.37,74.78,53,3963.08,2097.53,-22422.83,7.13
West,Office Supplies,7,29544.43,35.83,50,1791.26,1142.42,-28895.59,6.03
West,Furniture,4,39053.82,262.1,44,11532.22,9173.85,-36695.44,5.8
South,Technology,2,7934.21,234.65,61,14313.41,9294.32,-2915.12,7.45
North,Office Supplies,2,9203.36,223.33,43,9603.22,5072.53,-4672.66,5.87
West,Technology,4,17439.88,159.61,53,8459.48,6506.08,-15486.48,2.86
South,Furniture,7,32606.29,184.73,61,11268.83,7348.57,-28686.04,8.6
West,Technology,7,13290.12,447.52,53,23718.82,14992.6,-4563.89,5.9
West,Technology,12,38287.86,163.24,40,6529.4,3897.42,-35655.88,7.31
West,Furniture,10,24237.04,85.31,50,4265.28,3271.8,-23243.56,7.29
North,Technology,9,41857.86,272.69,54,14725.42,9444.15,-36576.59,6.47
East,Technology,5,16444.49,410.53,60,24631.88,14121.5,-5934.12,6.1
South,Technology,3,25265.79,375.67,53,19910.46,12060.01,-17415.35,9.46
North,Office Supplies,11,33536.4,67.5,54,3645.06,2573.04,-32464.38,6.4
West,Office Supplies,7,8468.51,173.49,59,10235.8,6224.53,-4457.24,7.79
North,Office Supplies,9,18677.59,328.32,56,18385.67,12860.69,-13152.61,7.61
East,Office Supplies,7,12608.65,197.93,47,9302.75,5716.39,-9022.28,6.64
South,Office Supplies,3,48956.01,59.81,48,2870.72,2072.58,-48157.87,6.67
West,Technology,3,48774.93,413.89,54,22350.02,17757.98,-44182.89,7.63
South,Office Supplies,9,18713.8,415.55,45,18699.77,9981.45,-9995.48,7.55
West,Technology,9,5558.18,237.04,46,10903.85,6424.23,-1078.57,9.76
East,Furniture,9,7166.43,451.93,59,26664.05,18077.33,1420.29,6.84
North,Furniture,12,31226.31,497.74,59,29366.75,15244.05,-17103.61,6.75
West,Technology,3,26976.86,370.1,50,18504.75,14074.08,-22546.18,5.32
East,Furniture,4,24952.1,305.51,53,16192.0,11509.11,-20269.22,6.84
West,Office Supplies,7,10926.2,120.92,45,5441.46,3492.7,-8977.45,8.36
South,Technology,12,32183.23,454.15,44,19982.74,12691.83,-24892.31,6.68
North,Technology,3,13824.4,307.34,45,13830.13,9058.34,-9052.61,6.54
North,Technology,1,14832.94,201.41,33,6646.68,4951.8,-13138.07,5.87
North,Technology,1,10122.73,175.89,50,8794.27,5699.25,-7027.71,6.4
North,Office Supplies,12,44701.64,337.12,45,15170.26,8935.56,-38466.94,6.02
South,Office Supplies,12,41953.92,5.77,53,306.06,176.68,-41824.55,7.22
South,Furniture,2,34938.14,401.18,53,21262.31,14434.91,-28110.74,6.08
West,Technology,1,23190.79,163.94,55,9016.43,6255.86,-20430.22,8.21
North,Furniture,2,11249.21,62.29,42,2616.18,1808.73,-10441.76,7.46
North,Furniture,6,42305.8,495.68,57,28253.49,18640.18,-32692.49,5.75
East,Furniture,5,10535.15,281.53,47,13231.82,9205.21,-6508.54,6.85
West,Technology,6,43332.86,204.93,38,7787.32,5906.86,-41452.4,4.89
West,Office Supplies,3,43590.31,458.73,49,22477.99,15164.99,-36277.31,7.7
South,Office Supplies,9,6233.91,199.52,50,9976.11,5483.75,-1741.56,6.39
North,Technology,4,20289.6,261.03,47,12268.57,7554.53,-15575.55,7.19
East,Furniture,11,19004.79,340.17,52,17689.09,10000.84,-11316.54,6.96
West,Technology,2,26851.54,18.63,48,894.27,455.44,-26412.71,7.42
West,Office Supplies,10,22794.54,160.04,41,6561.52,3536.75,-19769.77,6.38
West,Technology,3,44978.17,303.46,48,14565.92,8770.38,-39182.62,8.61
West,Technology,5,26504.53,268.47,42,11275.63,8474.37,-23703.27,8.59
North,Office Supplies,10,7594.14,174.51,51,8900.1,5999.92,-4693.96,6.3
West,Technology,3,11773.47,409.29,43,17599.67,12678.33,-6852.13,5.43
West,Furniture,3,14059.04,200.59,51,10230.25,8073.8,-11902.6,5.2
North,Furniture,11,20905.73,231.94,51,11828.98,8330.29,-17407.04,6.21
South,Technology,3,25820.4,490.59,50,24529.44,16597.09,-17888.06,6.94
South,Furniture,11,14145.04,382.09,48,18340.33,11878.99,-7683.7,8.58
South,Office Supplies,2,24955.51,303.05,52,15758.49,10131.84,-19328.86,7.33
East,Technology,8,43428.29,222.38,49,10896.58,7496.6,-40028.31,9.94
East,Office Supplies,6,28725.18,318.11,53,16859.79,10116.25,-21981.63,6.64
East,Furniture,9,40702.73,495.32,38,18822.17,9660.45,-31541.01,8.81
East,Technology,8,47169.1,411.85,54,22240.1,13782.86,-38711.86,4.84
South,Furniture,4,23319.79,37.67,47,1770.72,1314.71,-22863.78,7.05
West,Furniture,8,10081.92,421.83,44,18560.38,10088.66,-1610.2,7.91
South,Technology,8,18288.07,120.03,45,5401.36,4206.41,-17093.12,8.24
North,Office Supplies,5,42900.38,276.75,44,12176.79,6872.44,-37596.03,6.71
East,Technology,9,10531.43,444.89,50,22244.31,15031.8,-3318.92,6.03
West,Furniture,2,37127.87,412.15,57,23492.82,15412.49,-29047.54,7.28
North,Office Supplies,7,37429.48,203.72,42,8556.05,6392.51,-35265.94,5.55
North,Office Supplies,9,5006.06,258.01,34,8772.3,6246.7,-2480.45,8.4
East,Furniture,8,5171.9,127.18,55,6994.78,3711.2,-1888.32,4.98
East,Furniture,12,30731.41,454.06,65,29514.15,18097.91,-19315.16,5.77
West,Office Supplies,5,10221.02,25.93,51,1322.66,996.32,-9894.69,5.74
North,Technology,11,34987.34,483.19,54,26092.45,13870.99,-22765.89,7.62
East,Office Supplies,12,49975.98,56.88,50,2844.0,2160.72,-49292.7,5.51
West,Furniture,3,21641.6,30.92,56,1731.28,1292.67,-21202.98,6.91
East,Furniture,9,34580.91,238.78,60,14326.77,10076.65,-30330.78,4.67
West,Office Supplies,4,38236.89,161.24,53,8545.48,6101.15,-35792.55,8.23
South,Technology,4,8840.36,26.29,53,1393.29,1023.52,-8470.59,5.61
South,Furniture,5,45998.09,419.94,46,19317.3,11204.08,-37884.87,7.15
North,Office Supplies,9,48357.47,261.92,54,14143.73,10356.0,-44569.74,7.18
South,Office Supplies,6,5762.64,386.23,57,22015.01,12761.55,3490.82,9.32
West,Technology,9,39791.38,261.39,47,12285.35,6147.66,-33653.7,8.48
East,Office Supplies,3,6061.77,449.79,56,25188.1,16054.86,3071.46,4.97
South,Office Supplies,4,45475.48,356.52,64,22817.09,14649.03,-37307.43,7.26
West,Furniture,8,47422.59,393.67,69,27163.15,16561.49,-36820.93,6.34
East,Furniture,12,32888.06,448.56,58,26016.32,15164.16,-22035.9,7.03
West,Office Supplies,12,33926.85,405.88,65,26382.25,18929.12,-26473.72,7.57
North,Office Supplies,9,36049.99,346.6,63,21835.66,12426.13,-26640.46,6.85
South,Office Supplies,2,15885.2,252.8,54,13651.13,7950.57,-10184.64,6.18
South,Furniture,2,29608.68,94.25,49,4618.37,3506.21,-28496.53,8.43
West,Technology,1,49153.66,397.61,59,23458.74,18489.9,-44184.82,6.93
West,Office Supplies,12,49766.87,357.3,45,16078.63,10902.41,-44590.65,7.28
South,Furniture,4,42322.62,367.4,47,17267.83,10681.22,-35736.01,6.01
West,Furniture,2,39078.96,85.03,49,4166.34,2392.32,-37304.94,9.09
East,Furniture,6,43484.31,303.52,58,17603.98,10792.92,-36673.26,8.76
West,Furniture,11,7072.55,405.0,42,17009.97,12629.61,-2692.19,5.73
North,Office Supplies,12,34809.53,63.66,45,2864.65,2222.56,-34167.45,5.77
East,Technology,9,39245.36,189.0,48,9072.16,7035.72,-37208.91,7.15
South,Technology,2,49659.9,196.23,51,10007.73,7547.64,-47199.82,7.88
North,Furniture,10,46320.76,55.39,50,2769.64,1417.17,-44968.28,6.39
North,Technology,11,30349.61,216.61,46,9964.22,5412.01,-25797.4,8.03
East,Office Supplies,7,47590.54,446.82,48,21447.18,13788.41,-39931.77,4.82
North,Technology,3,31721.11,21.24,53,1125.76,662.59,-31257.94,6.98
East,Technology,1,23423.54,406.38,58,23570.32,16689.8,-16543.02,8.02
East,Furniture,9,25848.21,27.47,48,1318.78,869.88,-25399.31,8.79
North,Technology,12,28512.96,32.04,46,1474.03,838.9,-27877.84,8.83
North,Technology,7,32433.4,448.54,57,25566.79,14865.34,-21731.94,8.23
North,Furniture,11,49979.48,205.85,44,9057.26,6002.62,-46924.84,6.47
East,Office Supplies,10,36919.44,87.82,56,4918.15,3864.02,-35865.31,5.44
South,Furniture,9,21276.96,474.86,53,25167.49,16812.57,-12922.05,8.07
East,Technology,9,25196.61,83.72,42,3516.13,2605.65,-24286.13,8.44
East,Office Supplies,10,37804.15,431.54,45,19419.16,10847.01,-29231.99,5.05
